"isbn"," bookname","booktopic","author","publisher","translator"
9786005675368,"wonder","Novel Fiction","R. J. Palacio","Ofogh","Parvin Alipour"
9786002961235,"wonder","Novel Fiction","R. J. Palacio","Peydayesh","Farah Behbahani"
9786222440084,"The book legally, all rights reserved","Novel Fiction","Gregory Scott Catzoulis","Peydayesh","Milad Babanejad    Elahe Moradi"
9786002961150,"The Fault in Our Stars","Novel Romance","John Green","Peydayesh","Milad Babanejad    Elahe Moradi"
9786008111412,"Fish in a Tree","Novel Fiction","Lynda Mullaly Hunt","Porteghal","Marzieh Vorshosaz"
9786008675778,"The Night Gardener","Novel  Mystery

","Janatan Okcir","Porteghal","Arezou Gholizadeh"
9786001752629,"Dokhtare Shina","Novel  diary","Behnaz zarabizadeh","Sooremehr",NULL
9786000302818,"Golestan Yazdahom","Novel  diary","Behnaz zarabizadeh","Sooremehr",NULL
